timestamp,balance
2021-03-10 22:35:51+00:00,2285868326.1615205
2021-03-11 22:35:51+00:00,2277607453.570524
2021-03-12 22:35:51+00:00,2366762469.8528695
2021-03-13 22:35:51+00:00,2298173799.8273196
2021-03-14 22:35:51+00:00,2410804237.3693285
2021-03-15 22:35:51+00:00,2380783056.286109
2021-03-16 22:35:51+00:00,2202963554.006931
2021-03-17 22:35:51+00:00,2315355547.7482257
2021-03-18 22:35:51+00:00,2326444851.9206157
2021-03-19 22:35:51+00:00,2501895150.523209
2021-03-20 22:35:51+00:00,2430343062.1365223
2021-03-21 22:35:51+00:00,2524664335.503452
2021-03-22 22:35:51+00:00,2633602683.768854
2021-03-23 22:35:51+00:00,2325235882.732695
2021-03-24 22:35:51+00:00,2158425571.7532578
2021-03-25 22:35:51+00:00,2047586267.0461135
2021-03-26 22:35:51+00:00,2051082735.391492
2021-03-27 22:35:51+00:00,2103447373.9188406
2021-03-28 22:35:51+00:00,2115717603.9840887
2021-03-29 22:35:51+00:00,2126674649.913552
2021-03-30 22:35:51+00:00,2124525775.584926
2021-03-31 22:35:51+00:00,2124833266.5256438
2021-04-01 22:35:51+00:00,2176359941.0794706
2021-04-02 22:35:51+00:00,2271888895.1586018
2021-04-03 22:35:51+00:00,2307370181.583039
2021-04-04 22:35:51+00:00,2258288654.980531
2021-04-05 22:35:51+00:00,2311144430.1349077
2021-04-06 22:35:51+00:00,2402854948.5242753
2021-04-07 22:35:51+00:00,2241042938.0298085
2021-04-08 22:35:51+00:00,2213609167.77583
2021-04-09 22:35:51+00:00,2234698635.1745615
2021-04-10 22:35:51+00:00,2196330405.212548
2021-04-11 22:35:51+00:00,2784790378.2401314
2021-04-12 22:35:51+00:00,2793736492.5355964
2021-04-13 22:35:51+00:00,2539860618.1339836
2021-04-14 22:35:51+00:00,2762915925.957738
2021-04-15 22:35:51+00:00,2851575030.6736255
2021-04-16 22:35:51+00:00,2820177378.559009
2021-04-17 22:35:51+00:00,2698838664.180734
2021-04-18 22:35:51+00:00,2588454873.5366206
2021-04-19 22:35:51+00:00,2391255938.5159655
2021-04-20 22:35:51+00:00,2395093549.756136
2021-04-21 22:35:51+00:00,2649297075.953835
2021-04-22 22:35:51+00:00,2725298953.1326222
2021-04-23 22:35:51+00:00,2542018360.2072644
2021-04-24 22:35:51+00:00,2322865163.202324
2021-04-25 22:35:51+00:00,2605774109.396019
2021-04-26 22:35:51+00:00,2608802557.8846235
2021-04-27 22:35:51+00:00,2923897779.1256866
2021-04-28 22:35:51+00:00,3232600265.983003
2021-04-29 22:35:51+00:00,3205289962.019986
