,timestamp,address,symbol,price,returns,std_dev
636,2020-08-15,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ETH,429.63498,-0.023574045598851262,0.040125768313685986
635,2020-08-16,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ETH,431.6407,0.004657564755163906,0.0403048579057399
634,2020-08-17,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ETH,419.17722,-0.029299739288802584,0.04279226638941386
633,2020-08-18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ETH,433.9882,0.034723554863466365,0.04363944070343266
632,2020-08-19,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ETH,413.65353,-0.04798860540630692,0.04619394457654025
631,2020-08-20,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ETH,411.8313,-0.0044149399083725435,0.03292302124325351
630,2020-08-21,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ETH,400.3308,-0.02832259414410572,0.02534906811165429
629,2020-08-22,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ETH,390.26062,-0.025476432981844148,0.025465974948956128
628,2020-08-23,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ETH,392.5024,0.0057278795033927216,0.025578890479299073
627,2020-08-24,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ETH,404.5014,0.03011254570214738,0.028629333143030216
626,2020-08-25,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ETH,398.44278,-0.015091298091849887,0.023597072264215896
625,2020-08-26,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ETH,382.60883,-0.04055076379029754,0.022080711600524817
624,2020-08-27,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ETH,387.46594,0.012614812482610168,0.023575751280124495
623,2020-08-28,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ETH,387.792,0.0008411652494021029,0.022283599917470066
622,2020-08-29,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ETH,400.87003,0.03316814665136387,0.023811386116328243
621,2020-08-30,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ETH,420.15033,0.04697531575086603,0.028242808885688697
620,2020-08-31,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ETH,431.37302,0.026360615626020517,0.027884119969495073
619,2020-09-01,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ETH,465.60287,0.0763598690538643,0.03416437823063477
618,2020-09-02,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ETH,460.3502,-0.011345556301769463,0.02734214329590292
617,2020-09-03,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ETH,421.56763,-0.08800728884369012,0.048830256803920676
616,2020-09-04,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ETH,377.76678,-0.10970319426254585,0.06507502219704181
615,2020-09-05,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ETH,343.7911,-0.09424281560958904,0.0698491626901861
614,2020-09-06,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ETH,350.1947,0.018455080058222037,0.0664598611782989
613,2020-09-07,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ETH,348.5142,-0.004810310103204777,0.0637919151862407
612,2020-09-08,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ETH,344.8192,-0.010658753731027282,0.04837926085354314
611,2020-09-09,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ETH,347.999,0.009179384513154625,0.05076605016344524
610,2020-09-10,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ETH,363.29727,0.04302181854092823,0.05367583132511316
609,2020-09-11,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ETH,372.49878,0.02501233789841006,0.041216550256037675
608,2020-09-12,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ETH,384.76703,0.032404271601089156,0.01803470987601228
607,2020-09-13,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ETH,369.3022,-0.0410227551904261,0.026798748663455576
606,2020-09-14,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ETH,364.1738,-0.013984052846650984,0.027585838928790803
605,2020-09-15,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ETH,359.85114,-0.011940780275021533,0.02770169511150527
604,2020-09-16,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ETH,359.5551,-0.0008230120903877725,0.027763684438617438
603,2020-09-17,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ETH,390.0744,0.08147005631525711,0.03705633635748316
602,2020-09-18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ETH,382.3239,-0.020069335063606482,0.03782485535708438
601,2020-09-19,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ETH,378.88892,-0.009025080043942466,0.036074174164446804
600,2020-09-20,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ETH,376.35147,-0.006719607641242845,0.032633227090456775
599,2020-09-21,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ETH,357.6186,-0.05105641204200707,0.037549275062197594
598,2020-09-22,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ETH,341.0065,-0.04756551668410189,0.040748962273819106
597,2020-09-23,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ETH,330.24902,-0.03205456273629551,0.0414571109034976
596,2020-09-24,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ETH,332.63312,0.007193164925993907,0.020187561218616062
595,2020-09-25,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ETH,353.55032,0.060985682280076815,0.03569669663569935
